review_id,condition,provider,model,sample_id,run_index,review_reason,predicted_formula,gold_formula,predicted_question
MR-001,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-007,0,Valid but non-identical formula; semantic equivalence not established,G(pump_primary | pump_secondary | pump_emergency),G((pump_primary = 1) | (pump_secondary = 1) | (pump_emergency = 1)),
MR-002,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-010,0,Valid but non-identical formula; semantic equivalence not established,"door_closed & F[0,2](lock_confirmed)","(door_closed = 1) & F[0,2](lock_confirmed = 1)",
MR-003,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-011,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(fault) -> F[0,5](rise(recovery) & G[0,10](recovery)))","G(rise(fault = 1) -> F[0,5](G[0,10](recovery = 1)))",
MR-003,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-011,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(fault) -> F[0,5](rise(recovery) & G[0,10](recovery)))","G(rise(fault = 1) -> F[0,5](G[0,10](recovery = 1)))",
MR-003,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-011,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(fault) -> F[0,5](rise(recovery) & G[0,10](recovery)))","G(rise(fault = 1) -> F[0,5](G[0,10](recovery = 1)))",
MR-004,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-012,0,Valid but non-identical formula; semantic equivalence not established,"(!hazard_zone) U[0,60] (charging_station)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",
MR-004,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-012,0,Valid but non-identical formula; semantic equivalence not established,"(!hazard_zone) U[0,60] (charging_station)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",
MR-004,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-012,0,Valid but non-identical formula; semantic equivalence not established,"(!hazard_zone) U[0,60] (charging_station)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",
MR-005,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-012,0,Valid but non-identical formula; semantic equivalence not established,"(hazard_zone = 0) U[0,60] (charging_station = 1)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",
MR-006,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-013,0,Valid but non-identical formula; semantic equivalence not established,"G(reset -> H[0,5](!fault))","G((reset = 1) -> H[0,5](fault = 0))",
MR-007,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-014,0,Valid but non-identical formula; semantic equivalence not established,(warning) S (loss_of_signal),(warning = 1) S (loss_of_signal = 1),
MR-008,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-015,0,Valid but non-identical formula; semantic equivalence not established,"G((rise(enable = 1)) -> F[0,1](rise(output = 1))) & G((fall(enable = 1)) -> F[0,1](fall(output = 1)))","G(rise(enable = 1) -> F[0,1](output = 1)) & G(fall(enable = 1) -> F[0,1](output = 0))",
MR-009,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-015,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(enable) -> F[0,1](output = 1)) & G(fall(enable) -> F[0,1](output = 0))","G(rise(enable = 1) -> F[0,1](output = 1)) & G(fall(enable = 1) -> F[0,1](output = 0))",
MR-009,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-015,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(enable) -> F[0,1](output = 1)) & G(fall(enable) -> F[0,1](output = 0))","G(rise(enable = 1) -> F[0,1](output = 1)) & G(fall(enable = 1) -> F[0,1](output = 0))",
MR-010,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-020,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(A) -> G[0,20](B < 3))","G(rise(A = 1) -> G[0,20](B < 3))","For how long after A rises must B remain below 3 (e.g., until 20 seconds from the start, for 20 seconds after the rise, or indefinitely)?"
MR-010,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-020,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(A) -> G[0,20](B < 3))","G(rise(A = 1) -> G[0,20](B < 3))","Does “within 20 seconds” define the window in which A may rise, or must B remain below 3 for 20 seconds after each rise of A?"
MR-010,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-020,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(A) -> G[0,20](B < 3))","G(rise(A = 1) -> G[0,20](B < 3))","After signal A rises, must signal B remain continuously below 3 for the full 20 seconds, or is it sufficient for B to drop below 3 at some point within that 20-second window?"
MR-011,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-022,0,Valid but non-identical formula; semantic equivalence not established,"G((rise(request)) -> (F[0,3](grant)))","G(rise(request = 1) -> F[0,3](grant = 1))","What is the exact time bound (interval, e.g., within X time units) that defines 'soon' for the grant to arrive after a request?"
MR-012,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-022,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(request) -> F[0,3](grant = 1))","G(rise(request = 1) -> F[0,3](grant = 1))","What is the exact maximum time bound (e.g., within N time units) within which grant must become true after request, and should this be triggered on each rising edge of request or whenever request holds true?"
MR-013,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-022,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(request) -> F[0,3](rise(grant)))","G(rise(request = 1) -> F[0,3](grant = 1))",What time interval should define “soon” for the grant after a request?
MR-013,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-022,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(request) -> F[0,3](rise(grant)))","G(rise(request = 1) -> F[0,3](grant = 1))","What finite time bound defines “soon,” and should each rise(request) trigger the obligation?"
MR-014,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-023,0,"Formula exact, but clarification question may target the wrong slot",G((primary_ok = 0) -> (backup_active = 1)),G((primary_ok = 0) -> (backup_active = 1)),"What exact condition defines “when necessary” (using `primary_ok` and/or `backup_active`), and must `backup_active` become true immediately or within a specified time bound?"
MR-015,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-023,0,Valid but non-identical formula; semantic equivalence not established,G((primary_ok = 0) -> F(backup_active = 1)),G((primary_ok = 0) -> (backup_active = 1)),"Should 'necessary' be defined as primary_ok becoming false (primary_ok=0), and if so, within what time bound after that must backup_active become true?"
MR-016,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-023,0,Valid but non-identical formula; semantic equivalence not established,G((primary_ok = 0) -> backup_active),G((primary_ok = 0) -> (backup_active = 1)),"What condition defines 'when necessary' for backup takeover — specifically, should this be interpreted as backup_active becoming true whenever primary_ok is false (i.e., !primary_ok -> backup_active), or is there a different triggering condition intended?"
MR-017,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-024,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(request) -> (F[0,1](ack) & F[0,5](service_started) & F[0,20](service_done)))","G(rise(request = 1) -> (F[0,1](ack = 1) & F[0,5](service_started = 1) & F[0,20](service_done = 1)))",
MR-018,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-024,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(request) -> (F[0,1](rise(ack)) & F[0,5](rise(service_started)) & F[0,20](rise(service_done))))","G(rise(request = 1) -> (F[0,1](ack = 1) & F[0,5](service_started = 1) & F[0,20](service_done = 1)))",
MR-018,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-024,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(request) -> (F[0,1](rise(ack)) & F[0,5](rise(service_started)) & F[0,20](rise(service_done))))","G(rise(request = 1) -> (F[0,1](ack = 1) & F[0,5](service_started = 1) & F[0,20](service_done = 1)))",
MR-019,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-025,0,Valid but non-identical formula; semantic equivalence not established,"G[20,50]((x1 + x2 <= 1.5) U[0,4] (x3 > 2))","G[20,50](((x1 + x2) <= 1.5) U[2,4](x3 > 2))",
MR-020,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-027,0,Valid but non-identical formula; semantic equivalence not established,"G((temperature < 20 | temperature > 30) -> F[0,6](G[0,4](temperature >= 20 & temperature <= 30)))","G((!((temperature >= 20) & (temperature <= 30))) -> F[0,6](G[0,4]((temperature >= 20) & (temperature <= 30))))",
MR-021,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-030,0,Valid but non-identical formula; semantic equivalence not established,"(F[0,90](goal_1_r1 = 1 | goal_1_r2 = 1 | goal_1_r3 = 1) & F[0,90](goal_2_r1 = 1 | goal_2_r2 = 1 | goal_2_r3 = 1)) & G(d12 >= 1 & d13 >= 1 & d23 >= 1)","(F[0,90](goal_1_r1 | goal_1_r2 | goal_1_r3) & F[0,90](goal_2_r1 | goal_2_r2 | goal_2_r3)) & G((d12 >= 1) & (d13 >= 1) & (d23 >= 1))",
MR-022,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-031,0,Valid but non-identical formula; semantic equivalence not established,"G[20,50]((x1 + x2 <= 1.5) | F[2,4](x3 > 2))","G[20,50](((x1 + x2) <= 1.5) U[2,4](x3 > 2))",
MR-023,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-032,0,Valid but non-identical formula; semantic equivalence not established,"G[0,500](((z2 < -0.5 | z2 > 0.5) -> F[0,200]((z1 > 1) & G[0,50](z1 > 1))))","G[0,500]((abs(z2) > 0.5) -> F[0,200](G[0,50](z1 > 1)))",
MR-024,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-037,0,Valid but non-identical formula; semantic equivalence not established,"G[0,100](rise(request) -> F[0,4](response = 1))","G[0,100](rise(request = 1) -> F[0,4](response = 1))",
MR-025,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-037,0,Valid but non-identical formula; semantic equivalence not established,"G[0,100](rise(request) -> F[0,4](response))","G[0,100](rise(request = 1) -> F[0,4](response = 1))",
MR-026,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-037,0,Valid but non-identical formula; semantic equivalence not established,"G[0,100](rise(request) -> F[0,4](rise(response)))","G[0,100](rise(request = 1) -> F[0,4](response = 1))",
MR-027,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-038,0,Valid but non-identical formula; semantic equivalence not established,"G(grant -> O[0,5](request))","G((grant = 1) -> O[0,5](request = 1))",
MR-027,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-038,0,Valid but non-identical formula; semantic equivalence not established,"G(grant -> O[0,5](request))","G((grant = 1) -> O[0,5](request = 1))",
MR-028,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-043,0,Valid but non-identical formula; semantic equivalence not established,"G(((A | B) & !C) -> F[0,2](D))","G(((A = 1) | ((B = 1) & (C = 0))) -> F[0,2](D = 1))",
MR-028,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-043,0,Valid but non-identical formula; semantic equivalence not established,"G(((A | B) & !C) -> F[0,2](D))","G(((A = 1) | ((B = 1) & (C = 0))) -> F[0,2](D = 1))",
MR-029,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-046,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(start) -> F[0,3](ready = 1))","G(rise(start = 1) -> F[0,3](ready = 1))",
MR-029,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-046,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(start) -> F[0,3](ready = 1))","G(rise(start = 1) -> F[0,3](ready = 1))",
MR-029,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-046,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(start) -> F[0,3](ready = 1))","G(rise(start = 1) -> F[0,3](ready = 1))",
MR-030,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-046,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(start) -> F[0,3](ready))","G(rise(start = 1) -> F[0,3](ready = 1))",
MR-031,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-047,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(request) -> F[0,5](response))","G(rise(request = 1) -> F[0,5](response = 1))",
MR-032,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-048,0,Valid but non-identical formula; semantic equivalence not established,"G((A & !A) -> F[0,2](B))","G(((A = 1) & !(A = 1)) -> F[0,2](B = 1))",
MR-032,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-048,0,Valid but non-identical formula; semantic equivalence not established,"G((A & !A) -> F[0,2](B))","G(((A = 1) & !(A = 1)) -> F[0,2](B = 1))",
MR-033,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-050,0,Valid but non-identical formula; semantic equivalence not established,"G(rise(door_unlocked) -> H[0,10](authorization_valid))","G(rise(door_unlocked = 1) -> H[0,10](authorization_valid = 1))",
MR-034,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-053,0,"Formula exact, but clarification question may target the wrong slot",G((vehicle_distance < 3) -> (separation >= 2)),G((vehicle_distance < 3) -> (separation >= 2)),Two conflicting domain rules define 'close' differently (below 3 metres vs below 5 metres) — which threshold should be used for vehicle_distance to determine 'close'?
MR-035,Clarify-inspired OpenAI,clarify,clarifystl-inspired-openai-v1,NLSTL150-053,0,"Formula exact, but clarification question may target the wrong slot",G((vehicle_distance < 3) -> (separation >= 2)),G((vehicle_distance < 3) -> (separation >= 2)),"Which threshold and signal should define “vehicle is close” (<3 m or <5 m, using `vehicle_distance` or `separation`)?"
MR-036,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-053,0,"Formula exact, but clarification question may target the wrong slot",G((vehicle_distance < 3) -> (separation >= 2)),G((vehicle_distance < 3) -> (separation >= 2)),Which threshold should define “a vehicle is close” for this requirement: vehicle_distance < 3 m or vehicle_distance < 5 m?
MR-037,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-056,0,Valid but non-identical formula; semantic equivalence not established,"G[0,120](((A > 5) | (B < -2)) -> F[0,4](G[0,6](C = 1 & ((E = 1) | (D < 0.1)))))","G[0,120]((((A > 5) | (B < -2)) & !(E = 1)) -> F[0,4](G[0,6]((C = 1) & (D < 0.1))))",
MR-038,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-056,0,Valid but non-identical formula; semantic equivalence not established,"G[0,120]((A>5 | B<-2) -> F[0,4](G[0,6]((C=1) & (D<0.1 | E=1))))","G[0,120]((((A > 5) | (B < -2)) & !(E = 1)) -> F[0,4](G[0,6]((C = 1) & (D < 0.1))))",
MR-039,Clarify-inspired Anthropic,clarify,clarifystl-inspired-anthropic-v1,NLSTL150-057,0,Valid but non-identical formula; semantic equivalence not established,"G((rise(valve_A) & (valve_B = 0)) -> F[0,3](valve_A = 0))","G(((valve_A = 1) & (valve_B = 0)) -> F[0,3](valve_A = 0))","Does 'it must close within 3 seconds' refer to valve_A (the valve that just opened) needing to close again, or to valve_B, and should the triggering condition 'valve A opens while valve B is closed' be interpreted as an instantaneous rising-edge event on valve_A?"
MR-040,OpenAI direct,openai,gpt-5.6-terra,NLSTL150-059,0,Valid but non-identical formula; semantic equivalence not established,"G((A & B & C & D & !E) -> F[0,5](Fsig | Gsig))","G(((A = 1) & (B = 1) & (C = 1) & (D = 1) & !(E = 1)) -> F[0,5]((Fsig = 1) | (Gsig = 1)))",
MR-040,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-059,0,Valid but non-identical formula; semantic equivalence not established,"G((A & B & C & D & !E) -> F[0,5](Fsig | Gsig))","G(((A = 1) & (B = 1) & (C = 1) & (D = 1) & !(E = 1)) -> F[0,5]((Fsig = 1) | (Gsig = 1)))",
MR-041,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-061,0,Valid but non-identical formula; semantic equivalence not established,G(check_waiting -> (backward U (safe_region_found & other_vehicle_passed & collision_free))),G(collision_free) & F(check_waiting & (backward U (safe_region_found & other_vehicle_passed))),
MR-042,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-062,0,Valid but non-identical formula; semantic equivalence not established,G(collision_free) & F(behavior_predicted) & F(safe_region_found) & F(pulled_over) & F(rear_vehicle_passed),G(collision_free) & F(behavior_predicted & safe_region_found & pulled_over & rear_vehicle_passed),
MR-043,Anthropic direct,anthropic,claude-sonnet-5,NLSTL150-063,0,Valid but non-identical formula; semantic equivalence not established,F(construction_detected & F(safe_gap_found & F(lane_merge_completed & F(journey_resumed)))) & G(collision_free),G(collision_free) & F(construction_detected & safe_gap_found & lane_merge_completed & journey_resumed),
